# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
i360telugu  # yt:yt_UCL58h8DWk83OHWcP-XOvF4w
telugucreat  # yt:yt_UC-InwuvmqwrIy7mSb5Co2Cg
starmaa  # yt:yt_UCJF4y2nyCCrDKTgA7dxz1Qw
rohitkhatrifitness  # yt:yt_UChXRi2xTPZ8J5lznBNuMCOw
anubhav_vastav  # yt:yt_UCSrwhbt5DQZgTRnlPZ7EwXw
technical.haster  # yt:yt_UC-VSrWVuNAIrN84bW52vCaw
vizagbachelor  # yt:yt_UC_R3ZiFAQX2nl9aQNYHgkBA
asvimalayalamaswathy  # yt:yt_UCaLSkUP3yReSALsFnbxAFKg
simpleghartelugu  # yt:yt_UC85MIJMcZNnhxx84BZMlJgg
anurag_bawariya  # yt:yt_UC5pSjq2beevPd-kE0I4thpw
parthbajaj  # yt:yt_UCQ5O3wFnqen5LSXfOH4VBxw
sribalajivideo  # yt:yt_UCoy3dQzEdq1y2zMnT4pdj3Q
mirrortvchannel  # yt:yt_UC9UqAwZ5b-d933TzJkUvpYw
tserieshamaarbhojpuri  # yt:yt_UCpN-WGQgGsOrXm7nHXDdTDA
amit.yt  # yt:yt_UCebC4x5l2-PQxg46Ucv9CsA
teddy_blake  # yt:yt_UCC3CnctRfikgUEonCXYhxiw
thevillagerbishal_05  # yt:yt_UCobQdTm1LO4sNhFkQpYBjUg
motorbeam  # yt:yt_UC-sc9TAs4scvSUMpixFhcLA
hk.permanentmakeup  # yt:yt_UCFuWdVAHWsgebcp5Zbkj_dw
tec  # yt:yt_UCKEFMi9FXfaI3pSRPxgU1og
gyantherapy  # yt:yt_UCS261lQDXjMvc8Jck-2CQEg
motoroctane  # yt:yt_UCSXOsOIzeJqJb4h0QlimDww
measajay  # yt:yt_UCCzc-66xLKUHpDdjoXjzGLA
nishant.travel  # yt:yt_UC2G3BMGDzgrnUUwZQ_ha6GQ
trackerfy_ahad  # yt:yt_UCPWYXAw6IVhCysYgnqvaa7Q
ishaanali11  # yt:yt_UCN4NflpHqLeHQZ91kTUVCBw
coldmango.in  # yt:yt_UCKF0A9z1JwPgyMXE2cvjMRA
aslimonasingh  # yt:yt_UCkaMZOILqfN5EYmQM0MmkIQ
shreyanshhpathak  # yt:yt_UC28haopD28ljl7lVEKkw1PA
bhuvan.bam22  # yt:yt_UCqwUrj10mAEsqezcItqvwEw
round2hell  # yt:yt_UCt4atlExw8aj3Bm79nv1fig
priya_mageshraja  # yt:yt_UCvF4sSn9HAIUh-yCXvdasAA
anistamilkitchen  # yt:yt_UC-iuaIXgZ4MOBhaVlsNePAg
prashantyoutuber  # yt:yt_UCwXoTVIBscl4RI-5EU_h1ug
cookwithnisha  # yt:yt_UCxSI_ScvntwbqmDD7VkspUQ
aashnajuyal06  # yt:yt_UCnClr89nTBMap0Az_NGpGOg
flightgamer_real  # yt:yt_UCt3mMVAyGhwQb_ZBGp_p85g
gulzaarchhaniwala  # yt:yt_UCaNVvLC6bcsvIwuDm3tItWQ
crazysaaquib  # yt:yt_UC42qyCQM39vQ6bt_6iz-Z8A
tondeofficial  # yt:yt_UCD5EC8IWhOFalXtePCkhJTA
thinkmusicofficial  # yt:yt_UCLbdVvreihwZRL6kwuEUYsA
rythu_badi  # yt:yt_UCpzSzORldDhA7ZTZNQSgNbA
houseofaisha.in  # yt:yt_UCyGz2GDw0Tprn5IBzGkPSHw
abraz.khan321  # yt:yt_UCbQaw6kiduY7EVu_yRRmSCA
wi  # yt:yt_UCk37AZtxmQAfemCDrAM4ftw
rajireddy619  # yt:yt_UCy1jB1SahuCXw56KPyjAZpw
suhaidkukku_  # yt:yt_UCU2nVTHqiOAP_q5nkNttlGA
itlu_mee_pujitha  # yt:yt_UCyyBnKRzw2aU9uqaQfX2qfw
blissfarmstays  # yt:yt_UCnKcj-LLNC2dEk8hpo4o78A
tamilservertech  # yt:yt_UC4wnqNN6_6ioHQDs8OyLkfQ
lumos_samiosa  # yt:yt_UCpUZ9fq6GUKpeSe_sW9qSgA
cravingsandcalories  # yt:yt_UCsKc38DDpGkNTHwsYjA0rbA
fashgen_z  # yt:yt_UCKEFIec61smvEaAlglAiW9A
farahkhankunder  # yt:yt_UChCYMXLO_SfiNwOc2rlNKCA
laharimusic  # yt:yt_UCnSqxrSfo1sK4WZ7nBpYW1Q
triggeredinsaan  # yt:yt_UCFwKgzKe-EdTz83r6wzhmOw
gyangaming  # yt:yt_UChXi_PlJkRMPYFQBOJ3MpxA
rahulgandhi  # yt:yt_UC1DtEMePmr4O6F2do6BVl7A
naina_bondada  # yt:yt_UCJPpUvCDuKIO3tZoeNKMo-g
gauravagrawal2112  # yt:yt_UCSKHNgf4BZczadG6gKixIeg
sgvdigital  # yt:yt_UCZaVCXWtPFbEM1RnQQC1qOQ
fat.kat420  # yt:yt_UCokRGEqaBGJPsMZ3ppFEF3Q
princeyadav88  # yt:yt_UCrOqvBGN_lUsgpTmQo818tA
baby_mom_monti  # yt:yt_UCHFxiwt59yX7nTHxZgZ6KVQ
gautamikawale  # yt:yt_UCtgGOdTlM-NdJ9rPKIYN8UQ
manimerajvines  # yt:yt_UC7b8mQI8AtWR1LzucdFPkFg
coin_digital  # yt:yt_UCOo61v1PPAjoN2exxYAzdAw
